LONGITUDE,LATITUDE,TIMESTAMP,NO
-1.8776,113.504,7082015,226
-1.7302,113.9495,7082015,227
-1.638,113.5872,7082015,228
-2.3751,114.1543,7082015,229
-2.3223,114.1019,7082015,230
-2.3125,114.1005,7082015,231
-2.3141,114.0896,7082015,232
-2.3092,114.0377,7082015,233
-2.2719,114.0877,7082015,234
-2.2474,114.1175,7082015,235
-2.236,114.127,7082015,236
-2.2704,113.8248,7082015,237
-2.2466,113.9188,7082015,238
-2.2236,113.7909,7082015,239
-2.2109,113.8106,7082015,240
-2.1853,113.85,7082015,241
-2.0767,113.9584,7082015,242
-2.0534,113.7645,7082015,243
-1.6283,113.5858,7082015,244
-2.2375,114.1255,8082015,245
-2.226,114.1213,8082015,246
-2.3144,114.1011,8082015,247
-2.3118,114.1085,8082015,248
-2.2134,113.7941,8082015,249
-2.0561,113.9597,8082015,250
-2.0578,113.948,8082015,251
-1.6281,113.5882,8082015,252
-1.5876,113.4511,8082015,253
-1.5894,113.4387,8082015,254
-2.051,113.9589,8082015,255
-2.0491,113.9533,8082015,256
-2.0514,113.9685,8082015,257
-2.2234,114.1184,8082015,258
-2.2256,114.1331,8082015,259
-2.3133,114.0994,8082015,260
-2.3155,114.114,8082015,261
-2.0605,113.9504,9082015,262
-2.0622,113.9615,9082015,263
-2.0619,113.9551,9082015,264
-2.2271,114.1093,9082015,265
-2.2288,114.1207,9082015,266
-2.2304,114.1321,9082015,267
-2.2388,114.1193,9082015,268
-2.2487,113.9051,9082015,269
-2.3178,114.1016,9082015,270
-2.3188,114.1017,9082015,271
-2.3201,114.0928,9082015,272
-2.2316,114.128,9082015,273
-2.2329,114.1191,9082015,274
-2.2341,114.1102,9082015,275
-2.2455,113.9022,9082015,276
-2.104,113.7324,9082015,277
-1.7315,113.9559,9082015,278
-1.6283,113.5882,9082015,279
-1.5925,113.4478,9082015,280
-1.5912,113.4462,9082015,281
-2.0591,113.9515,9082015,282
-1.8768,113.3731,9082015,283
-1.5866,113.4577,9082015,284
-1.8742,113.3819,9082015,285
-1.8854,113.6333,9082015,286
