LATITUDE,LONGITUDE,TIMESTAMP
-1.789,111.3426,20/08/2015
-1.8108,111.3645,20/08/2015
-1.8002,111.3385,20/08/2015
-1.7574,111.3337,20/08/2015
-1.7606,111.3113,20/08/2015
-1.7465,111.3085,20/08/2015
-1.6438,111.3855,20/08/2015
-1.6929,110.9326,20/08/2015
-1.6302,111.1514,20/08/2015
-1.5625,111.3189,20/08/2015
-1.5659,111.295,20/08/2015
-1.5275,111.3624,20/08/2015
-1.5228,111.1873,20/08/2015
-1.526,111.1637,20/08/2015
-1.5609,110.9091,20/08/2015
-1.5195,111.3789,20/08/2015
-1.5195,111.1803,20/08/2015
-1.5229,111.1568,20/08/2015
-1.5598,110.9008,20/08/2015
-1.3788,111.6693,20/08/2015
-1.3833,111.6879,20/08/2015
-1.3865,111.6661,20/08/2015
-1.8323,111.8181,20/08/2015
-1.8426,111.8104,20/08/2015
-1.8413,111.8195,20/08/2015
-1.879,111.8124,20/08/2015
-1.8777,111.8215,20/08/2015
-1.9535,111.5479,20/08/2015
-1.9151,111.8823,20/08/2015
-1.9715,111.5505,20/08/2015
-1.9241,111.8836,20/08/2015
-2.0123,111.3284,20/08/2015
-2.095,111.7178,20/08/2015
-2.2404,111.0188,20/08/2015
-2.2074,111.4479,20/08/2015
-2.2317,111.4696,20/08/2015
-1.8326,111.8154,20/08/2015
-1.834,111.8245,20/08/2015
-1.8786,111.8206,20/08/2015
-1.9684,111.5491,20/08/2015
-1.8839,111.8148,21/08/2015
-1.9029,111.2992,21/08/2015
-1.8418,111.4034,21/08/2015
-1.833,111.4083,21/08/2015
-1.6609,111.1819,21/08/2015
-1.6625,111.1709,21/08/2015
-1.4959,111.1218,21/08/2015
-1.2506,111.8131,21/08/2015
-1.6586,111.4046,22/08/2015
-1.0476,111.4854,22/08/2015
-2.0198,111.3302,22/08/2015
-1.9826,111.2345,22/08/2015
-2.036,111.4391,22/08/2015
-2.0345,111.4499,22/08/2015
-2.0443,111.4513,22/08/2015
-1.8386,111.8198,22/08/2015
-1.8401,111.8094,22/08/2015
-1.8344,111.8193,23/08/2015
-1.8394,111.8128,23/08/2015
-2.2333,111.2083,23/08/2015
-2.3004,111.3729,23/08/2015
